         1570699 function calls (1560596 primitive calls) in 1.750 seconds
   Ordered by: standard name
   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      327    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:318(__exit__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:403(cached)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:663(_load_unlocked)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:882(_find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:978(_find_and_load)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(create_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
      640    0.000    0.000    0.001    0.000 <string>:1(__new__)
        1    0.000    0.000    0.001    0.001 KinMS_figures.py:48(makebeam)
        1    0.020    0.020    1.128    1.128 KinMS_figures.py:89(makeplots)
        1    0.000    0.000    0.000    0.000 KinMS_figures.py:9(__init__)
        1    0.000    0.000    1.750    1.750 KinMS_testsuite.py:12(expdisk)
        1    0.001    0.001    0.001    0.001 TimMS.py:212(makebeam)
        1    0.040    0.040    0.103    0.103 TimMS.py:280(kinms_sampleFromArbDist_oneSided)
        1    0.075    0.075    0.127    0.127 TimMS.py:344(kinms_create_velField_oneSided)
        1    0.000    0.000    0.000    0.000 TimMS.py:42(__init__)
        1    0.000    0.000    0.103    0.103 TimMS.py:482(generate_cloudlets)
        1    0.004    0.004    0.004    0.004 TimMS.py:500(set_cloud_positions)
        2    0.000    0.000    0.000    0.000 TimMS.py:515(create_warp)
        1    0.014    0.014    0.014    0.014 TimMS.py:533(inclination_projection)
        1    0.019    0.019    0.019    0.019 TimMS.py:549(position_angle_rotation)
        1    0.000    0.000    0.161    0.161 TimMS.py:566(set_cloud_velocities)
        1    0.010    0.010    0.015    0.015 TimMS.py:619(find_clouds_in_cube)
        1    0.000    0.000    0.080    0.080 TimMS.py:644(add_fluxes)
        1    0.004    0.004    0.005    0.005 TimMS.py:688(normalise_cube)
        1    0.004    0.004    1.750    1.750 TimMS.py:707(model_cube)
        1    0.000    0.000    0.000    0.000 __init__.py:1107(winfo_toplevel)
       34    0.000    0.000    0.000    0.000 __init__.py:1195(_bind)
       34    0.000    0.000    0.000    0.000 __init__.py:1212(bind)
       25    0.000    0.000    0.000    0.000 __init__.py:1315(_options)
        1    0.000    0.000    0.000    0.000 __init__.py:1322(get_backend)
        1    0.000    0.000    0.000    0.000 __init__.py:1340(nametowidget)
        1    0.000    0.000    0.000    0.000 __init__.py:1342(is_interactive)
       43    0.000    0.000    0.000    0.000 __init__.py:1357(_register)
    18146    0.006    0.000    0.009    0.000 __init__.py:1361(debug)
      144    0.000    0.000    0.000    0.000 __init__.py:1373(is_math_text)
        2    0.000    0.000    0.000    0.000 __init__.py:1379(_root)
      359    0.000    0.000    0.001    0.000 __init__.py:1382(_to_unmasked_float_array)
        4    0.000    0.000    0.000    0.000 __init__.py:1393(_check_1d)
      122    0.000    0.000    0.000    0.000 __init__.py:143(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1504(pts_to_prestep)
        3    0.000    0.000    0.043    0.014 __init__.py:1598(inner)
       87    0.000    0.000    0.000    0.000 __init__.py:1616(<lambda>)
    18146    0.003    0.000    0.003    0.000 __init__.py:1619(isEnabledFor)
       18    0.000    0.000    0.000    0.000 __init__.py:163(connect)
       60    0.000    0.000    0.000    0.000 __init__.py:1651(safe_first_element)
        9    0.000    0.000    0.000    0.000 __init__.py:1667(sanitize_sequence)
      281    0.003    0.000    0.003    0.000 __init__.py:1673(normalize_kwargs)
       43    0.000    0.000    0.000    0.000 __init__.py:1695(__init__)
      281    0.000    0.000    0.000    0.000 __init__.py:1760(<listcomp>)
      281    0.000    0.000    0.000    0.000 __init__.py:1765(<listcomp>)
        4    0.000    0.000    0.000    0.000 __init__.py:1769(wm_attributes)
        2    0.000    0.000    0.000    0.000 __init__.py:180(_remove_proxy)
        1    0.000    0.000    0.000    0.000 __init__.py:1815(wm_deiconify)
        1    0.000    0.000    0.000    0.000 __init__.py:1887(wm_iconphoto)
    18129    0.005    0.000    0.007    0.000 __init__.py:1906(_str_equal)
      275    0.000    0.000    0.000    0.000 __init__.py:1916(_str_lower_equal)
       32    0.000    0.000    0.000    0.000 __init__.py:1947(method)
        1    0.000    0.000    0.000    0.000 __init__.py:1956(wm_protocol)
        1    0.000    0.000    0.000    0.000 __init__.py:1983(wm_title)
        2    0.000    0.000    0.000    0.000 __init__.py:1992(wm_withdraw)
        1    0.000    0.000    0.015    0.015 __init__.py:2003(__init__)
     1624    0.003    0.000    0.004    0.000 __init__.py:2012(_setattr_cm)
      812    0.000    0.000    0.001    0.000 __init__.py:2017(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:2030(_warn_external)
        1    0.000    0.000    0.000    0.000 __init__.py:2033(_loadtk)
      124    0.000    0.000    0.000    0.000 __init__.py:205(process)
        4    0.000    0.000    0.000    0.000 __init__.py:2053(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2067(readprofile)
        4    0.000    0.000    0.000    0.000 __init__.py:21(get_projection_class)
       12    0.000    0.000    0.000    0.000 __init__.py:2125(pack_configure)
     2690    0.001    0.000    0.002    0.000 __init__.py:2151(_check_in_list)
       12    0.000    0.000    0.000    0.000 __init__.py:2253(_setup)
       12    0.000    0.000    0.023    0.002 __init__.py:2286(__init__)
       12    0.000    0.000    0.000    0.000 __init__.py:2295(<listcomp>)
        3    0.000    0.000    0.000    0.000 __init__.py:232(__init__)
        7    0.000    0.000    0.023    0.003 __init__.py:2350(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2395(__init__)
        1    0.000    0.000    0.004    0.004 __init__.py:2470(_create)
        1    0.000    0.000    0.004    0.004 __init__.py:2487(create_image)
        3    0.000    0.000    0.000    0.000 __init__.py:2730(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2748(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:299(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:339(__str__)
        1    0.000    0.000    0.000    0.000 __init__.py:342(set)
        9    0.000    0.000    0.002    0.000 __init__.py:3484(__init__)
